,수상등급,분야,연도,직위,소속
473,우수상,환경,2016,학생,은광여고
474,우수상,환경,2016,학생,숙명여고
475,우수상,환경,2016,학생,세종과고
476,장려상,환경,2016,학생,세종과고
477,특상,환경,2016,학생,은광여고
478,특상,환경,2016,학생,서울과고
479,우수상,환경,2016,학생,명덕고
480,장려상,환경,2016,학생,한성과고
481,특상,환경,2016,학생,반포고
482,장려상,환경,2016,학생,재현중
483,특상,환경,2016,학생,숙명여중
484,우수상,환경,2016,학생,신목중
485,우수상,환경,2016,학생,역삼중 목운중
486,우수상,환경,2016,학생,내발산초
487,우수상,산업및에너지,2016,학생,압구정고
488,우수상,산업및에너지,2016,학생,세종과고
489,특상,산업및에너지,2016,학생,세종과고
490,우수상,사넙및에너지,2016,학생,서울과고
491,장려상,산업및에너지,2016,학생,서울과고
492,특상,산업및에너지,2016,학생,서울과고
493,장려상,산업및에너지,2016,학생,현대고
494,우수상,산업및에너지,2016,학생,서울과고
495,우수상,산업및에너지,2016,학생,숙명여중
496,특상,산업및에너지,2016,학생,잠신중
497,우수상,산업및에너지,2016,학생,역삼중
498,장려상,산업및에너지,2016,학생,신수중
499,특상,산업및에너지,2016,학생,둔촌중
500,장려상,산업및에너지,2016,학생,신천중
501,우수상,산업및에너지,2016,학생,신일중
502,우수상,산업및에너지,2016,학생,숭의초
503,특상,산업및에너지,2016,학생,태랑초
504,장려상,산업및에너지,2016,학생,여의도초 월촌초
505,장려상,산업및에너지,2016,학생,당곡초
506,장려상,산업및에너지,2016,학생,금성초
507,특상,농림수산,2016,학생,세종과고
508,우수상,농림수산,2016,학생,대진고
509,장려상,농림수산,2016,학생,하나고
510,특상,농림수산,2016,학생,서초고
511,장려상,농림수산,2016,학생,신도봉중
512,우수상,농림수산,2016,학생,봉영여중
513,특상,농림수산,2016,학생,여의도초
514,장려상,농림수산,2016,학생,숭덕초
515,우수상,농림수산,2016,학생,경기초
516,장려상,농림수산,2016,학생,오금초
517,특상,지구과학,2016,학생,홍은중
518,우수상,지구과학,2016,학생,서울과고
519,우수상,지구과학,2016,학생,대원국제중
520,장려상,지구과학,2016,학생,개운중
521,특상,식물,2016,학생,한서고
522,우수상,식물,2016,학생,금옥여고
523,장려상,식물,2016,학생,신현중
524,우수상,식물,2016,학생,중계중
525,장려상,식물,2016,학생,아주초
526,장려상,동물,2016,학생,세종과고
527,우수상,동물,2016,학생,숙명여고
528,우수상,동물,2016,학생,명덕고
529,장려상,동물,2016,학생,월촌중
530,우수상,동물,2016,학생,자운초
531,우수상,화학,2016,학생,신구중
532,우수상,화학,2016,학생,서울과고
533,우수상,화학,2016,학생,한성과고
534,우수상,화학,2016,학생,서울과고
535,우수상,화학,2016,학생,명덕고
536,특상,화학,2016,학생,한성과고
537,우수상,화학,2016,학생,대원국제중
538,특상,화학,2016,학생,중계중
539,장려상,화학,2016,학생,하나고
540,특상,화학,2016,학생,서울과고
541,장려상,화학,2016,학생,서초초
542,특상,화학,2016,학생,강서초
543,장려상,화학,2016,학생,서문여중
544,장려상,화학,2016,학생,문영여고
545,장려상,화학,2016,학생,구일중
546,특상,물리,2016,학생,한성과고
547,장려상,물리,2016,학생,한성과고
548,특상,물리,2016,학생,세종과고
549,우수상,물리,2016,학생,서울과고
550,우수상,물리,2016,학생,서울과고
551,장려상,물리,2016,학생,한성과고
552,장려상,물리,2016,학생,한성과고
553,장려상,물리,2016,학생,한성과고
554,우수상,물리,2016,학생,세종과고
555,우수상,물리,2016,학생,세종과고
556,특상,물리,2016,학생,서울과고
557,장려상,물리,2016,학생,한성과고
558,우수상,물리,2016,학생,상암중
559,특상,물리,2016,학생,하계중
560,장려상,물리,2016,학생,월촌중
561,우수상,물리,2016,학생,신일중
562,우수상,물리,2016,학생,개운중
563,우수상,물리,2016,학생,당산서중
564,장려상,물리,2016,학생,남대문중
565,장려상,물리,2016,학생,광진중
566,장려상,물리,2016,학생,"신천중,오륜중"
567,특상,물리,2016,학생,개운중
568,특상,물리,2016,학생,언주초
569,우수상,물리,2016,학생,신답초
570,장려상,물리,2016,학생,리라초
571,장려상,환경,2015,학생,보인고
572,우수상,환경,2015,학생,한성과학고
573,우수상,환경,2015,학생,단대부고
574,장려상,환경,2015,학생,세종과학고
575,특상,환경,2015,학생,숙명여고
576,장려상,환경,2015,학생,상암고
577,장려상,환경,2015,학생,명덕고
578,우수상,환경,2015,학생,한성과학고
579,특상,환경,2015,학생,세종과학고
580,특상,환경,2015,학생,한성과학고
581,우수상,환경,2015,학생,서울고
582,장려상,환경,2015,학생,창문여고
